-ῐ́δης,-ῐ́δ,-ιδ,,,ᾱ,α,-ῐ́δᾱ,-ιδα,"('m',)",Nominative,Dual,True
-ῐ́δης,-ῐ́δ,-ιδ,,,αι,αι,-ῐ́δαι,-ιδαι,"('m',)",Nominative,Plural,True
-ῐ́δης,-ῐ́δ,-ιδ,,,ου,ου,-ῐ́δου,-ιδου,"('m',)",Genitive,Singular,True
-ῐ́δης,-ῐ́δ,-ιδ,,,αιν,αιν,-ῐ́δαιν,-ιδαιν,"('m',)",Genitive,Dual,True
-ῐ́δης,-ῐ́δ,-ιδ,,,ῶν,ων,-ῐδῶν,-ιδων,"('m',)",Genitive,Plural,False
-ῐ́δης,-ῐ́δ,-ιδ,,,ῃ,ῃ,-ῐ́δῃ,-ιδῃ,"('m',)",Dative,Singular,True
-ῐ́δης,-ῐ́δ,-ιδ,,,αιν,αιν,-ῐ́δαιν,-ιδαιν,"('m',)",Dative,Dual,True
-ῐ́δης,-ῐ́δ,-ιδ,,,αις,αις,-ῐ́δαις,-ιδαις,"('m',)",Dative,Plural,True
-ῐ́δης,-ῐ́δ,-ιδ,,,ην,ην,-ῐ́δην,-ιδην,"('m',)",Accusative,Singular,True
-ῐ́δης,-ῐ́δ,-ιδ,,,ᾱ,α,-ῐ́δᾱ,-ιδα,"('m',)",Accusative,Dual,True
-ῐ́δης,-ῐ́δ,-ιδ,,,ᾱς,ας,-ῐ́δᾱς,-ιδας,"('m',)",Accusative,Plural,True
-ῐ́δης,-ῐ́δ,-ιδ,,,η,η,-ῐ́δη,-ιδη,"('m',)",Vocative,Singular,True
-ῐ́δης,-ῐ́δ,-ιδ,,,ᾱ,α,-ῐ́δᾱ,-ιδα,"('m',)",Vocative,Dual,True
-ῐ́δης,-ῐ́δ,-ιδ,,,αι,αι,-ῐ́δαι,-ιδαι,"('m',)",Vocative,Plural,True
-ῑ́λη,-ῑ́λ,-ιλ,,,η,η,-ῑ́λη,-ιλη,"('f',)",Nominative,Singular,True
-ῑ́λη,-ῑ́λ,-ιλ,,,ᾱ,α,-ῑ́λᾱ,-ιλα,"('f',)",Nominative,Dual,True
-ῑ́λη,-ῑ́λ,-ιλ,,,αι,αι,-ῖλαι,-ιλαι,"('f',)",Nominative,Plural,False
-ῑ́λη,-ῑ́λ,-ιλ,,,ης,ης,-ῑ́λης,-ιλης,"('f',)",Genitive,Singular,True
-ῑ́λη,-ῑ́λ,-ιλ,,,αιν,αιν,-ῑ́λαιν,-ιλαιν,"('f',)",Genitive,Dual,True
-ῑ́λη,-ῑ́λ,-ιλ,,,ῶν,ων,-ῑλῶν,-ιλων,"('f',)",Genitive,Plural,False
-ῑ́λη,-ῑ́λ,-ιλ,,,ῃ,ῃ,-ῑ́λῃ,-ιλῃ,"('f',)",Dative,Singular,True
-ῑ́λη,-ῑ́λ,-ιλ,,,αιν,αιν,-ῑ́λαιν,-ιλαιν,"('f',)",Dative,Dual,True
-ῑ́λη,-ῑ́λ,-ιλ,,,αις,αις,-ῑ́λαις,-ιλαις,"('f',)",Dative,Plural,True
-ῑ́λη,-ῑ́λ,-ιλ,,,ην,ην,-ῑ́λην,-ιλην,"('f',)",Accusative,Singular,True
-ῑ́λη,-ῑ́λ,-ιλ,,,ᾱ,α,-ῑ́λᾱ,-ιλα,"('f',)",Accusative,Dual,True
-ῑ́λη,-ῑ́λ,-ιλ,,,ᾱς,ας,-ῑ́λᾱς,-ιλας,"('f',)",Accusative,Plural,True
-ῑ́λη,-ῑ́λ,-ιλ,,,η,η,-ῑ́λη,-ιλη,"('f',)",Vocative,Singular,True
-ῑ́λη,-ῑ́λ,-ιλ,,,ᾱ,α,-ῑ́λᾱ,-ιλα,"('f',)",Vocative,Dual,True
-ῑ́λη,-ῑ́λ,-ιλ,,,αι,αι,-ῖλαι,-ιλαι,"('f',)",Vocative,Plural,False
-ῑ́της,-ῑ́τ,-ιτ,,,ης,ης,-ῑ́της,-ιτης,"('m',)",Nominative,Singular,True
-ῑ́της,-ῑ́τ,-ιτ,,,ᾱ,α,-ῑ́τᾱ,-ιτα,"('m',)",Nominative,Dual,True
-ῑ́της,-ῑ́τ,-ιτ,,,αι,αι,-ῖται,-ιται,"('m',)",Nominative,Plural,False
-ῑ́της,-ῑ́τ,-ιτ,,,ου,ου,-ῑ́του,-ιτου,"('m',)",Genitive,Singular,True
-ῑ́της,-ῑ́τ,-ιτ,,,αιν,αιν,-ῑ́ταιν,-ιταιν,"('m',)",Genitive,Dual,True
-ῑ́της,-ῑ́τ,-ιτ,,,ῶν,ων,-ῑτῶν,-ιτων,"('m',)",Genitive,Plural,False
-ῑ́της,-ῑ́τ,-ιτ,,,ῃ,ῃ,-ῑ́τῃ,-ιτῃ,"('m',)",Dative,Singular,True
-ῑ́της,-ῑ́τ,-ιτ,,,αιν,αιν,-ῑ́ταιν,-ιταιν,"('m',)",Dative,Dual,True
-ῑ́της,-ῑ́τ,-ιτ,,,αις,αις,-ῑ́ταις,-ιταις,"('m',)",Dative,Plural,True
-ῑ́της,-ῑ́τ,-ιτ,,,ην,ην,-ῑ́την,-ιτην,"('m',)",Accusative,Singular,True
-ῑ́της,-ῑ́τ,-ιτ,,,ᾱ,α,-ῑ́τᾱ,-ιτα,"('m',)",Accusative,Dual,True
-ῑ́της,-ῑ́τ,-ιτ,,,ᾱς,ας,-ῑ́τᾱς,-ιτας,"('m',)",Accusative,Plural,True
-ῑ́της,-ῑ́τ,-ιτ,,,ᾰ,α,-ῖτᾰ,-ιτα,"('m',)",Vocative,Singular,False
-ῑ́της,-ῑ́τ,-ιτ,,,ᾱ,α,-ῑ́τᾱ,-ιτα,"('m',)",Vocative,Dual,True
-ῑ́της,-ῑ́τ,-ιτ,,,αι,αι,-ῖται,-ιται,"('m',)",Vocative,Plural,False
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,ᾱ,α,-ᾰρχῐ́ᾱ,-αρχια,"('f',)",Nominative,Singular,True
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,ᾱ,α,-ᾰρχῐ́ᾱ,-αρχια,"('f',)",Nominative,Dual,True
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,αι,αι,-ᾰρχῐ́αι,-αρχιαι,"('f',)",Nominative,Plural,True
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,ᾱς,ας,-ᾰρχῐ́ᾱς,-αρχιας,"('f',)",Genitive,Singular,True
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,αιν,αιν,-ᾰρχῐ́αιν,-αρχιαιν,"('f',)",Genitive,Dual,True
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,ῶν,ων,-ᾰρχῐῶν,-αρχιων,"('f',)",Genitive,Plural,False
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,ᾳ,ᾳ,-ᾰρχῐ́ᾳ,-αρχιᾳ,"('f',)",Dative,Singular,True
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,αιν,αιν,-ᾰρχῐ́αιν,-αρχιαιν,"('f',)",Dative,Dual,True
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,αις,αις,-ᾰρχῐ́αις,-αρχιαις,"('f',)",Dative,Plural,True
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,ᾱν,αν,-ᾰρχῐ́ᾱν,-αρχιαν,"('f',)",Accusative,Singular,True
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,ᾱ,α,-ᾰρχῐ́ᾱ,-αρχια,"('f',)",Accusative,Dual,True
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,ᾱς,ας,-ᾰρχῐ́ᾱς,-αρχιας,"('f',)",Accusative,Plural,True
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,ᾱ,α,-ᾰρχῐ́ᾱ,-αρχια,"('f',)",Vocative,Singular,True
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,ᾱ,α,-ᾰρχῐ́ᾱ,-αρχια,"('f',)",Vocative,Dual,True
-ᾰρχῐ́ᾱ,-ᾰρχῐ́,-αρχι,,,αι,αι,-ᾰρχῐ́αι,-αρχιαι,"('f',)",Vocative,Plural,True
-βᾰ́της,-βᾰ́τ,-βατ,,,ης,ης,-βᾰ́της,-βατης,"('m',)",Nominative,Singular,True
-βᾰ́της,-βᾰ́τ,-βατ,,,ᾱ,α,-βᾰ́τᾱ,-βατα,"('m',)",Nominative,Dual,True
-βᾰ́της,-βᾰ́τ,-βατ,,,αι,αι,-βᾰ́ται,-βαται,"('m',)",Nominative,Plural,True
-βᾰ́της,-βᾰ́τ,-βατ,,,ου,ου,-βᾰ́του,-βατου,"('m',)",Genitive,Singular,True
-βᾰ́της,-βᾰ́τ,-βατ,,,αιν,αιν,-βᾰ́ταιν,-βαταιν,"('m',)",Genitive,Dual,True
-βᾰ́της,-βᾰ́τ,-βατ,,,ῶν,ων,-βᾰτῶν,-βατων,"('m',)",Genitive,Plural,False
-βᾰ́της,-βᾰ́τ,-βατ,,,ῃ,ῃ,-βᾰ́τῃ,-βατῃ,"('m',)",Dative,Singular,True
-βᾰ́της,-βᾰ́τ,-βατ,,,αιν,αιν,-βᾰ́ταιν,-βαταιν,"('m',)",Dative,Dual,True
-βᾰ́της,-βᾰ́τ,-βατ,,,αις,αις,-βᾰ́ταις,-βαταις,"('m',)",Dative,Plural,True
-βᾰ́της,-βᾰ́τ,-βατ,,,ην,ην,-βᾰ́την,-βατην,"('m',)",Accusative,Singular,True
-βᾰ́της,-βᾰ́τ,-βατ,,,ᾱ,α,-βᾰ́τᾱ,-βατα,"('m',)",Accusative,Dual,True
-βᾰ́της,-βᾰ́τ,-βατ,,,ᾱς,ας,-βᾰ́τᾱς,-βατας,"('m',)",Accusative,Plural,True
